Share Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,year_start,Company,Expenses,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,year_start,Price_start,Price_end,year_end,POSC,PE,ROSC,PayPrice,DAMT,DIVY,change
295.0,18722.0,139128.0,9375.0,167520.0,234.0,0.0,12207.0,155079.0,167520.0,Mar 2012,HDFC,511.0,22.0,11157.0,21.0,5666.0,27.0,4123.0,27.91,39.0,Mar 2013,642.5864868164062,638.37548828125,Mar 2013,13.976271186440679,23.023521562751927,63.46440677966102,6.069221933567164,1088.49,1.6939198416585954,0.9934467988021053
469.0,29455.0,270553.0,37432.0,337910.0,2347.0,0.0,97483.0,238079.0,337910.0,Mar 2012,HDFCBANK,10613.0,5784.0,14990.0,543.0,7513.0,31.0,5167.0,11.01,20.0,Mar 2013,278.5526428222656,282.568115234375,Mar 2013,11.017057569296375,25.299967558788886,62.80383795309169,7.179971368198893,220.2,0.7905148476386981,1.014415488474369
40.0,4250.0,719.0,4880.0,9889.0,3786.0,39.0,3964.0,2100.0,9889.0,Mar 2012,HEROMOTOCO,19947.0,351.0,21.0,1097.0,2865.0,17.0,2378.0,119.09,38.0,Mar 2013,1371.8843994140625,1560.6669921875,Mar 2013,59.45,11.519727931934357,106.25,2.7699126847881614,4525.42,3.298689016314221,1.1376082364185112
191.0,31300.0,14573.0,9583.0,55648.0,7150.0,16257.0,18087.0,14153.0,55648.0,Mar 2012,HINDALCO,23492.0,616.0,294.0,690.0,2737.0,18.0,2237.0,11.69,13.0,Mar 2013,97.00330352783205,99.47174072265624,Mar 2013,11.712041884816754,8.29797292795826,163.87434554973822,13.401605437355089,151.97,1.56664767562681,1.0254469394860966
216.0,3297.0,0.0,7445.0,10958.0,2147.0,215.0,2438.0,6157.0,10958.0,Mar 2012,HINDUNILVR,18809.0,381.0,1.0,218.0,3469.0,22.0,2691.0,12.45,60.0,Mar 2013,437.2772216796875,549.4605712890625,Mar 2013,12.458333333333334,35.12266840800703,15.26388888888889,13.721272690474363,747.0,1.708298449964058,1.2565497218868424
1153.0,59250.0,395665.0,33001.0,489069.0,4615.0,0.0,159560.0,324894.0,489069.0,Mar 2012,ICICIBANK,8915.0,7503.0,22808.0,525.0,8797.0,27.0,6465.0,10.2,29.0,Mar 2013,146.0364532470703,132.19036865234375,Mar 2013,5.607111882046834,14.317299337948072,51.38768430182134,19.858055543800862,295.79999999999995,2.0255216654676875,0.9051874769150877
1512.0,10628.0,46429.0,2137.0,60706.0,314.0,0.0,8486.0,51906.0,60706.0,Mar 2012,IDFC,508.0,13.0,3455.0,31.0,2201.0,27.0,1603.0,10.6,22.0,Mar 2013,51.804325103759766,32.992889404296875,Mar 2013,1.0601851851851851,4.88720048148677,7.029100529100529,42.467496595961485,233.2,4.501554639171918,0.636875190212687
287.0,29470.0,0.0,6058.0,35815.0,4061.0,588.0,1409.0,29757.0,35815.0,Mar 2012,INFY,21769.0,2985.0,2.0,794.0,11674.0,27.0,8470.0,18.44,32.0,Mar 2013,235.9093475341797,315.3893127441406,Mar 2013,29.51219512195122,12.793348564760286,102.6829268292683,13.564532450484474,590.08,2.5012997838693374,1.3369089272668413
782.0,18010.0,89.0,10107.0,28988.0,9099.0,2277.0,6317.0,11296.0,28988.0,Mar 2012,ITC,16258.0,814.0,98.0,699.0,8898.0,31.0,6162.0,5.25,57.0,Mar 2013,141.0337371826172,165.1417999267578,Mar 2013,7.879795396419437,26.863568987165177,23.0306905370844,40.415861579413225,299.25,2.121832732919194,1.1709382678622802
93.0,10752.0,15714.0,6998.0,33558.0,11549.0,10494.0,1412.0,10103.0,33558.0,Mar 2012,JINDALSTEL,9266.0,327.0,685.0,867.0,2843.0,26.0,2111.0,22.58,7.0,Mar 2013,340.4825134277344,219.2628326416016,Mar 2013,22.698924731182796,15.078942135860691,115.61290322580645,2.0559058759079893,158.06,0.46422354678002403,0.6439767799944268
